time_id,date,time,hour,minute,day_name,day_of_week,is_weekend,week_of_year,month,quarter,year
202401010900,2024-01-01,09:00,9,0,Monday,1,0,1,1,1,2024
202401010930,2024-01-01,09:30,9,30,Monday,1,0,1,1,1,2024
202401011000,2024-01-01,10:00,10,0,Monday,1,0,1,1,1,2024
202401011030,2024-01-01,10:30,10,30,Monday,1,0,1,1,1,2024
202401011100,2024-01-01,11:00,11,0,Monday,1,0,1,1,1,2024
202401011130,2024-01-01,11:30,11,30,Monday,1,0,1,1,1,2024
202401011200,2024-01-01,12:00,12,0,Monday,1,0,1,1,1,2024
202401011230,2024-01-01,12:30,12,30,Monday,1,0,1,1,1,2024
202401011300,2024-01-01,13:00,13,0,Monday,1,0,1,1,1,2024
202401011330,2024-01-01,13:30,13,30,Monday,1,0,1,1,1,2024
202401011400,2024-01-01,14:00,14,0,Monday,1,0,1,1,1,2024
202401011430,2024-01-01,14:30,14,30,Monday,1,0,1,1,1,2024
202401011500,2024-01-01,15:00,15,0,Monday,1,0,1,1,1,2024
202401011530,2024-01-01,15:30,15,30,Monday,1,0,1,1,1,2024
202401011600,2024-01-01,16:00,16,0,Monday,1,0,1,1,1,2024
202401011630,2024-01-01,16:30,16,30,Monday,1,0,1,1,1,2024
202401011700,2024-01-01,17:00,17,0,Monday,1,0,1,1,1,2024
202401011730,2024-01-01,17:30,17,30,Monday,1,0,1,1,1,2024
202401011800,2024-01-01,18:00,18,0,Monday,1,0,1,1,1,2024
202401011830,2024-01-01,18:30,18,30,Monday,1,0,1,1,1,2024
202401011900,2024-01-01,19:00,19,0,Monday,1,0,1,1,1,2024
202401011930,2024-01-01,19:30,19,30,Monday,1,0,1,1,1,2024
202401012000,2024-01-01,20:00,20,0,Monday,1,0,1,1,1,2024
202401012030,2024-01-01,20:30,20,30,Monday,1,0,1,1,1,2024
202401012100,2024-01-01,21:00,21,0,Monday,1,0,1,1,1,2024
202401012130,2024-01-01,21:30,21,30,Monday,1,0,1,1,1,2024
202401012200,2024-01-01,22:00,22,0,Monday,1,0,1,1,1,2024
202401012230,2024-01-01,22:30,22,30,Monday,1,0,1,1,1,2024
202401012300,2024-01-01,23:00,23,0,Monday,1,0,1,1,1,2024
202401012330,2024-01-01,23:30,23,30,Monday,1,0,1,1,1,2024
202401020900,2024-01-02,09:00,9,0,Tuesday,2,0,1,1,1,2024
202401020930,2024-01-02,09:30,9,30,Tuesday,2,0,1,1,1,2024
202401021000,2024-01-02,10:00,10,0,Tuesday,2,0,1,1,1,2024
202401021030,2024-01-02,10:30,10,30,Tuesday,2,0,1,1,1,2024
202401021100,2024-01-02,11:00,11,0,Tuesday,2,0,1,1,1,2024
202401021130,2024-01-02,11:30,11,30,Tuesday,2,0,1,1,1,2024
202401021200,2024-01-02,12:00,12,0,Tuesday,2,0,1,1,1,2024
202401021230,2024-01-02,12:30,12,30,Tuesday,2,0,1,1,1,2024
202401021300,2024-01-02,13:00,13,0,Tuesday,2,0,1,1,1,2024
202401021330,2024-01-02,13:30,13,30,Tuesday,2,0,1,1,1,2024
202401021400,2024-01-02,14:00,14,0,Tuesday,2,0,1,1,1,2024
202401021430,2024-01-02,14:30,14,30,Tuesday,2,0,1,1,1,2024
202401021500,2024-01-02,15:00,15,0,Tuesday,2,0,1,1,1,2024
202401021530,2024-01-02,15:30,15,30,Tuesday,2,0,1,1,1,2024
202401021600,2024-01-02,16:00,16,0,Tuesday,2,0,1,1,1,2024
202401021630,2024-01-02,16:30,16,30,Tuesday,2,0,1,1,1,2024
202401021700,2024-01-02,17:00,17,0,Tuesday,2,0,1,1,1,2024
202401021730,2024-01-02,17:30,17,30,Tuesday,2,0,1,1,1,2024
202401021800,2024-01-02,18:00,18,0,Tuesday,2,0,1,1,1,2024
202401021830,2024-01-02,18:30,18,30,Tuesday,2,0,1,1,1,2024
202401021900,2024-01-02,19:00,19,0,Tuesday,2,0,1,1,1,2024
202401021930,2024-01-02,19:30,19,30,Tuesday,2,0,1,1,1,2024
202401022000,2024-01-02,20:00,20,0,Tuesday,2,0,1,1,1,2024
202401022030,2024-01-02,20:30,20,30,Tuesday,2,0,1,1,1,2024
202401022100,2024-01-02,21:00,21,0,Tuesday,2,0,1,1,1,2024
202401022130,2024-01-02,21:30,21,30,Tuesday,2,0,1,1,1,2024
202401022200,2024-01-02,22:00,22,0,Tuesday,2,0,1,1,1,2024
202401022230,2024-01-02,22:30,22,30,Tuesday,2,0,1,1,1,2024
202401022300,2024-01-02,23:00,23,0,Tuesday,2,0,1,1,1,2024
202401022330,2024-01-02,23:30,23,30,Tuesday,2,0,1,1,1,2024
202401030900,2024-01-03,09:00,9,0,Wednesday,3,0,1,1,1,2024
202401030930,2024-01-03,09:30,9,30,Wednesday,3,0,1,1,1,2024
